Nama Provinsi,Nama Kabupaten Kota,Kelompok Umur,Jenis Kelamin,Jumlah Kasus,Tahun
JAWA BARAT,KOTA BANDUNG,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KOTA BANDUNG,5-14,PEREMPUAN,1,2019
JAWA BARAT,KOTA BANDUNG,15-19,LAKI-LAKI,7,2019
JAWA BARAT,KOTA BANDUNG,15-19,PEREMPUAN,0,2019
JAWA BARAT,KOTA BANDUNG,20-24,LAKI-LAKI,53,2019
JAWA BARAT,KOTA BANDUNG,20-24,PEREMPUAN,13,2019
JAWA BARAT,KOTA BANDUNG,25-49,LAKI-LAKI,194,2019
JAWA BARAT,KOTA BANDUNG,25-49,PEREMPUAN,55,2019
JAWA BARAT,KOTA BANDUNG,≥50,LAKI-LAKI,26,2019
JAWA BARAT,KOTA BANDUNG,≥50,PEREMPUAN,4,2019
JAWA BARAT,KOTA CIREBON,0-4,LAKI-LAKI,3,2019
JAWA BARAT,KOTA CIREBON,0-4,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIREBON,5-14,LAKI-LAKI,2,2019
JAWA BARAT,KOTA CIREBON,5-14,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIREBON,15-19,LAKI-LAKI,3,2019
JAWA BARAT,KOTA CIREBON,15-19,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIREBON,20-24,LAKI-LAKI,26,2019
JAWA BARAT,KOTA CIREBON,20-24,PEREMPUAN,6,2019
JAWA BARAT,KOTA CIREBON,25-49,LAKI-LAKI,101,2019
JAWA BARAT,KOTA CIREBON,25-49,PEREMPUAN,44,2019
JAWA BARAT,KOTA CIREBON,≥50,LAKI-LAKI,3,2019
JAWA BARAT,KOTA CIREBON,≥50,PEREMPUAN,1,2019
JAWA BARAT,KOTA BEKASI,0-4,LAKI-LAKI,3,2019
JAWA BARAT,KOTA BEKASI,0-4,PEREMPUAN,1,2019
JAWA BARAT,KOTA BEKASI,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KOTA BEKASI,5-14,PEREMPUAN,1,2019
JAWA BARAT,KOTA BEKASI,15-19,LAKI-LAKI,9,2019
JAWA BARAT,KOTA BEKASI,15-19,PEREMPUAN,2,2019
JAWA BARAT,KOTA BEKASI,20-24,LAKI-LAKI,45,2019
JAWA BARAT,KOTA BEKASI,20-24,PEREMPUAN,7,2019
JAWA BARAT,KOTA BEKASI,25-49,LAKI-LAKI,183,2019
JAWA BARAT,KOTA BEKASI,25-49,PEREMPUAN,68,2019
JAWA BARAT,KOTA BEKASI,≥50,LAKI-LAKI,10,2019
JAWA BARAT,KOTA BEKASI,≥50,PEREMPUAN,6,2019
JAWA BARAT,KOTA DEPOK,0-4,LAKI-LAKI,3,2019
JAWA BARAT,KOTA DEPOK,0-4,PEREMPUAN,0,2019
JAWA BARAT,KOTA DEPOK,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KOTA DEPOK,5-14,PEREMPUAN,2,2019
JAWA BARAT,KOTA DEPOK,15-19,LAKI-LAKI,5,2019
JAWA BARAT,KOTA DEPOK,15-19,PEREMPUAN,4,2019
JAWA BARAT,KOTA DEPOK,20-24,LAKI-LAKI,42,2019
JAWA BARAT,KOTA DEPOK,20-24,PEREMPUAN,6,2019
JAWA BARAT,KOTA DEPOK,25-49,LAKI-LAKI,124,2019
JAWA BARAT,KOTA DEPOK,25-49,PEREMPUAN,45,2019
JAWA BARAT,KOTA DEPOK,≥50,LAKI-LAKI,13,2019
JAWA BARAT,KOTA DEPOK,≥50,PEREMPUAN,2,2019
JAWA BARAT,KOTA CIMAHI,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KOTA CIMAHI,0-4,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIMAHI,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KOTA CIMAHI,5-14,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIMAHI,15-19,LAKI-LAKI,0,2019
JAWA BARAT,KOTA CIMAHI,15-19,PEREMPUAN,0,2019
JAWA BARAT,KOTA CIMAHI,20-24,LAKI-LAKI,9,2019
JAWA BARAT,KOTA CIMAHI,20-24,PEREMPUAN,2,2019
JAWA BARAT,KOTA CIMAHI,25-49,LAKI-LAKI,27,2019
JAWA BARAT,KOTA CIMAHI,25-49,PEREMPUAN,4,2019
JAWA BARAT,KOTA CIMAHI,≥50,LAKI-LAKI,2,2019
JAWA BARAT,KOTA CIMAHI,≥50,PEREMPUAN,0,2019
JAWA BARAT,KOTA TASIKMALAYA,0-4,LAKI-LAKI,1,2019
JAWA BARAT,KOTA TASIKMALAYA,0-4,PEREMPUAN,0,2019
JAWA BARAT,KOTA TASIKMALAYA,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KOTA TASIKMALAYA,5-14,PEREMPUAN,0,2019
JAWA BARAT,KOTA TASIKMALAYA,15-19,LAKI-LAKI,1,2019
JAWA BARAT,KOTA TASIKMALAYA,15-19,PEREMPUAN,1,2019
JAWA BARAT,KOTA TASIKMALAYA,20-24,LAKI-LAKI,24,2019
JAWA BARAT,KOTA TASIKMALAYA,20-24,PEREMPUAN,6,2019
JAWA BARAT,KOTA TASIKMALAYA,25-49,LAKI-LAKI,55,2019
JAWA BARAT,KOTA TASIKMALAYA,25-49,PEREMPUAN,16,2019
JAWA BARAT,KOTA TASIKMALAYA,≥50,LAKI-LAKI,1,2019
JAWA BARAT,KOTA TASIKMALAYA,≥50,PEREMPUAN,0,2019
JAWA BARAT,KOTA BANJAR,0-4,LAKI-LAKI,2,2019
JAWA BARAT,KOTA BANJAR,0-4,PEREMPUAN,0,2019
JAWA BARAT,KOTA BANJAR,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KOTA BANJAR,5-14,PEREMPUAN,0,2019
JAWA BARAT,KOTA BANJAR,15-19,LAKI-LAKI,3,2019
JAWA BARAT,KOTA BANJAR,15-19,PEREMPUAN,1,2019
JAWA BARAT,KOTA BANJAR,20-24,LAKI-LAKI,9,2019
JAWA BARAT,KOTA BANJAR,20-24,PEREMPUAN,1,2019
JAWA BARAT,KOTA BANJAR,25-49,LAKI-LAKI,23,2019
JAWA BARAT,KOTA BANJAR,25-49,PEREMPUAN,5,2019
JAWA BARAT,KOTA BANJAR,≥50,LAKI-LAKI,1,2019
JAWA BARAT,KOTA BANJAR,≥50,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN BOGOR,0-4,LAKI-LAKI,7,2020
JAWA BARAT,KABUPATEN BOGOR,0-4,PEREMPUAN,1,2020
JAWA BARAT,KABUPATEN BOGOR,5-14,LAKI-LAKI,0,2020
JAWA BARAT,KABUPATEN BOGOR,5-14,PEREMPUAN,1,2020
JAWA BARAT,KABUPATEN BOGOR,15-19,LAKI-LAKI,8,2020
JAWA BARAT,KABUPATEN BOGOR,15-19,PEREMPUAN,2,2020
JAWA BARAT,KABUPATEN BOGOR,20-24,LAKI-LAKI,41,2020
JAWA BARAT,KABUPATEN BOGOR,20-24,PEREMPUAN,19,2020
JAWA BARAT,KABUPATEN BOGOR,25-49,LAKI-LAKI,229,2020
JAWA BARAT,KABUPATEN BOGOR,25-49,PEREMPUAN,99,2020
JAWA BARAT,KABUPATEN BOGOR,≥50,LAKI-LAKI,7,2020
JAWA BARAT,KABUPATEN BOGOR,≥50,PEREMPUAN,3,2020
